rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
90099,1,热炒热卖,rèchǎo-rèmài,,,,刚炒熟的食物趁热卖掉；比喻刚学到一点儿东西马上就去教别人。（也说现炒现卖。）,
90194,1,尺短寸长,chǐduǎn-cùncháng,,,,《楚辞·卜居》：“尺有所短，寸有所长。”意思是尺比寸长，用于更长处却显得短；寸比尺短，用于更短处却显得长。后用“尺短寸长”比喻每个人或事物各有各的长处和短处。（也说尺有所短，寸有所长。）,
90300,1,棒儿香,bàngrxiāng,,,名,用细竹棍儿或细木棍儿做芯子的香，便于插着燃点。,
90401,1,豆花儿,dòuhuār,,,名,某些地区指在煮开的豆浆中加入适量盐卤而凝结成的半固体，比豆腐脑儿略老一些。,
90444,1,抹得开,mòdekāi,,,动,面子上下得来,你能抹得开就别答应。
90444,2,抹得开,mòdekāi,,,动,想得通,这点儿不愉快的事我抹得开。
90650,1,斗趣儿,dòuqùr,,,,现在规范词形写作“逗趣儿”,
90680,1,拐脖儿,guǎibór,,,名,弯成直角的管道，用来连接两节管道使改变方向,如烟筒的拐脖儿，水暖管道的拐脖儿。
90942,1,罗圈儿揖,luóquānryī,,,名,身体转着圈儿向四周人们行的作揖礼,
90966,1,拔火罐儿,báhuǒguànr,,,动,拔罐儿,
90966,2,拔火罐儿,báhuǒguànr,,,名,拔火用的上细下粗的短烟筒，罩在家用煤炉的炉口上，能把火苗往上吸，使火烧旺,
91017,1,一得之功,yīdézhīgōng,,,,一点很小的成绩。,
91105,1,笔管条直,bǐguǎn-tiáozhí,,,,形容像毛笔杆儿那样直（多指直立着的）,两行笔管条直的白杨树。
91144,1,贝塔粒子,bèitǎ lìzǐ,,,,放射性物质衰变时放射出来的高速运动的电子，带负电。穿透力比阿尔法粒子大（贝塔：希腊字母β音译）。学名写作β粒子。,
91219,1,蹀血,diéxuè,,,,现在规范词形写作“喋血”,
91226,1,十锦,shíjǐn,,,,现在规范词形写作“什锦”,
91314,1,风戽,fēnghù,,,名,用风力带动的汲水灌田的旧式农具，形状有点儿像斗。,
91515,1,赛璐玢,sàilùfēn,,,名,英语 cellophane 音译。一种玻璃纸，可以染成各种颜色，多用于包装。,
91520,1,鼻韵母,bíyùnmǔ,,,名,带鼻音韵尾的韵母。汉语普通话语音里有 an、ian、uan、üan、en、in、un、ün、ang、iang、uang、eng、ing、ueng、ong、iong 等16个鼻韵母。,
91559,1,煤砟子,méizhǎzi,,,名,小块儿煤。,
91580,1,零杂工,língzágōng,,,名,做短时零星杂活儿的人,
91585,1,辣丝丝,làsīsī,,,形,形容有点儿辣的感觉,
91620,1,掐尖儿,qiājiānr,,,动,掐去某些作物的嫩尖儿,
91620,2,掐尖儿,qiājiānr,,,动,比喻打击冒尖的人,
91786,1,见风是雨,jiànfēng-shìyǔ,,,,比喻看到一点儿迹象或听到一点儿传言就轻率地相信并采取某种行动。,
91860,1,铰肉机,jiǎoròujī,,,名,把肉块铰成肉末儿的机械,
92189,1,秀外惠中,xiùwài-huìzhōng,,,,现在规范词形写作“秀外慧中”,
92258,1,榾柮,gǔduò,,,名,木头块儿；树根疙瘩。,烧几块榾柮取暖
92351,1,春卷儿,chūnjuǎnr,,,名,用薄面皮裹馅儿，卷成长条形，油炸后食用。原是一种春令食品，现已不限于春季食用。,
92355,1,排叉儿,páichàr,,,名,一种食品，将几股长方形薄面片儿交叉在一起放进热油中炸脆而成。,
92387,1,香干儿,xiānggānr,,,名,经加工的有五香味儿的豆腐干儿,
92489,1,哒嗪,dāqín,,,名,英语 diazine 音译。有机化合物。人工合成的哒嗪衍生物可用作药物。,
92508,1,笔胆,bǐdǎn,,,名,自来水笔笔杆内用来贮存墨水的橡皮管儿。（也说笔囊。）,
